Route Name,Antioquia Region,Distance from Medellín,Difficulty Level,Difficulty (1-5),Distance / Duration,Max Altitude & Elevation Gain,Terrain & Technical Info,Category,Description,Photo URL
Camino Ancestral de los Niquías,Valle de Aburrá (Bello),45 mins,High,4,12 km / 6-7 hours,"2,600m / +900m","Steep rock scrambling, pre-Hispanic paths.",Historical / Ascent,"A rugged ascent up the Quitasol massif, avoiding main trails.",
Cerro Quitasol (Summit),Valle de Aburrá (Bello),45 mins,High,4,14 km / 7-8 hours,"2,880m / +1,100m","Exposed, steep, loose dirt, very hot at base.",Summit / Endurance,Classic steep climb dominating the north of the valley.,
Alto de San Miguel,Valle de Aburrá (Caldas),1 hour,Moderate,2,10 km / 4 hours,"2,800m / +400m","Forest trails, shallow river crossings.",Ecological / Forest,Wildlife refuge where the Medellín River is born.,
Cuchilla de Las Baldías,Valle de Aburrá (Bello),1 hour,High,4,14 km / 7 hours,"3,200m / +1,100m","Páramo ecosystem, steep ridges, high wind.",High-Altitude / Páramo,The only páramo in the immediate Aburrá Valley.,
Arenales a Salto del Ángel,Valle de Aburrá (Envigado),40 mins,Moderate-High,3,10 km / 5 hours,"2,400m / +500m","Slippery rocks, dense vegetation, ropes needed.",Water Route / Technical,Classic local adventure trail requiring agility.,
Chorro de las Campanas,Valle de Aburrá (Envigado),40 mins,Moderate,2,7 km / 3-4 hours,"2,300m / +300m","Humid forest, muddy spots, river banks.",Water Route / Nature,Beautiful waterfall tucked inside the Ayurá river basin.,
Cerro de las Tres Cruces,Valle de Aburrá (Medellín),20 mins,Moderate,2,3 km / 1.5 hours,"1,900m / +300m","Very steep, loose dry dirt, exposed to sun.",Urban Ascent / Fitness,The most popular quick fitness hike in the city.,
Cerro El Picacho,Valle de Aburrá (Medellín),30 mins,Moderate,2,4 km / 2 hours,"2,100m / +400m",Steep paved and unpaved sections.,Urban Ascent / Viewpoint,Iconic viewpoint over the northwest of Medellín.,
Cerro Pan de Azúcar,Valle de Aburrá (Medellín),25 mins,Moderate,2,5 km / 2.5 hours,"2,000m / +350m","Urban trail, stone paths, steep stairs.",Historical / Viewpoint,Trail crossing the Arví park buffer zone and Comuna 8.,
La Romera Eco-Park,Valle de Aburrá (Sabaneta),45 mins,Low-Moderate,2,6 km / 3 hours,"2,200m / +400m",Well-maintained dirt roads and forest paths.,Ecological / Birding,Excellent for bird watching and easy weekend hikes.,
Cueva del Esplendor,Suroeste (Jardín),3.5 hours,Moderate,3,10 km / 4 hours,"2,200m / +400m","Muddy descents, humid, inside a cave.",Water Route / Hidden Gem,A waterfall that drops directly through a hole in a cave roof.,
Salto del Ángel (Jardín),Suroeste (Jardín),3.5 hours,Moderate-High,3,12 km / 5 hours,"2,000m / +500m","Slippery river stones, dense jungle.",Water Route,Massive waterfall deep in the mountains of Jardín.,
Cerro Tusa,Suroeste (Venecia),1.5 hours,High,4,4 km / 4-5 hours,"1,850m / +600m","Near-vertical dirt/grass ascents, requires hands.",Summit / Intense,The world's highest natural pyramid. Brutal gradient.,https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/cerro-tusa.jpg
Cerro Bravo,Suroeste (Fredonia),2 hours,High,4,12 km / 6-7 hours,"2,550m / +1,000m","Dense forest, very steep continuous incline.",Summit / Endurance,Prominent peak offering panoramic views of the Cauca River.,
Farallones del Citará,Suroeste (Ciudad Bolívar),3.5 hours,Extreme,5,18 km / 1-2 days,"3,950m / +1,600m","Technical rock scrambling, dense cloud forest.",High-Altitude / Technical,"Massive granite formations, highly demanding.",https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/farallones-del-citara.jpg
Páramo del Sol,Suroeste (Urrao),4 hours,Extreme,5,24 km / 2 days,"4,080m / +1,800m","Deep mud, extreme weather, steep rock.",High-Altitude / Summit,Highest point in Antioquia. Demanding frailejones trek.,
Cascada La Chorrera,Suroeste (Támesis),3 hours,Moderate,3,8 km / 4 hours,"1,600m / +300m","Steep descent, humid and slippery rocks.",Water Route,Towering waterfall in the indigenous territory of Támesis.,
Cristo Rey to La Herrera,Suroeste (Jardín),3 hours,Low,1,5 km / 2 hours,"1,900m / +150m","Stone paths, easy dirt roads.",Nature / Family,Easy walk connecting the viewpoint to a natural pool.,
Ruta del Oso de Anteojos,Suroeste (Andes),3.5 hours,High,4,15 km / 7 hours,"2,800m / +900m","Cloud forest, muddy, dense vegetation.",Wildlife / Endurance,Trek through the Tapartó reserve looking for spectacled bears.,
Camino Simón Bolívar,Suroeste (Venecia),2 hours,Moderate,2,9 km / 4 hours,"1,400m / +300m","Historical stone paths, some mud.",Historical / Nature,Ancient trade route passing near Cerro Tusa.,
Páramo de Sonsón,Oriente (Sonsón),3 hours,Moderate-High,4,14 km / 7 hours,"3,300m / +800m","Cloud forest to páramo, misty, humid.",High-Altitude / Páramo,Quieter alternative to Belmira with endemic flora.,
Cañón del Río Santo Domingo,Oriente (Cocorná),2 hours,Moderate,3,10 km / 5-6 hours,"1,200m / +300m","River trekking, deep river crossings.",Water Route / Adventure,"Deep canyon exploration, less crowded than Melcocho.",
Río Melcocho,Oriente (Cocorná),2 hours,Low-Moderate,2,8 km / 4 hours,900m / +200m,"Jungle paths, clear water wading.",Water Route / Swimming,Famous for crystal clear emerald waters.,
Cascadas de Karu,Oriente (San Rafael),2.5 hours,Moderate,3,8 km / 4 hours,"1,000m / +250m","Humid jungle paths, bouldering.",Water Route / Hidden Gem,Secluded waterfalls hidden deep in tropical forest.,
Salto del Buey,Oriente (La Ceja),2 hours,Moderate,3,6 km / 3 hours,"2,200m / +400m","Steep descent to waterfall base, cables.",Water Route / Scenic,Massive 90m waterfall in a dramatic canyon.,
Piedra del Peñol (Base Trail),Oriente (Guatapé),2 hours,Low,1,4 km / 1.5 hours,"2,100m / +200m",Paved and clear dirt paths.,Tourism / Easy,Walk around the base of the famous monolith.,
Cerro El Capiro,Oriente (La Ceja),1.5 hours,Moderate,2,6 km / 3 hours,"2,500m / +400m","Pine forest, dirt roads, steady incline.",Viewpoint / Forest,Panoramic views of the San Nicolás valley.,
Cascada La Escalera,Oriente (San Carlos),3 hours,Moderate,3,9 km / 5 hours,"1,100m / +300m","Jungle paths, river banks.",Water Route,Series of cascading waterfalls in a humid region.,
Pailania,Oriente (San Francisco),2.5 hours,Moderate,2,10 km / 4 hours,"1,000m / +200m","River rocks, warm tropical climate.",Water Route / Swimming,Beautiful river hike with multiple natural pools.,
Vereda La Madera,Oriente (El Carmen de Viboral),1.5 hours,Low-Moderate,2,8 km / 3 hours,"2,400m / +250m","Rural dirt roads, agricultural landscapes.",Cultural / Nature,Scenic walk through traditional ceramic-producing farmland.,
Morro El Ventiadero,Oriente (El Retiro),1 hour,Moderate,3,11 km / 5 hours,"2,600m / +500m","Pine needles, steep dirt tracks.",Endurance / Viewpoint,Great training route with valley views.,
Alto de la Cruz,Valle de Aburrá (Caldas),1 hour,Moderate,2,6 km / 3 hours,"2,100m / +350m","Dirt roads, clear trails.",Urban edge / Viewpoint,Good intermediate hike south of the city.,
Cascada El Paraíso,Oriente (Guarne),1 hour,Moderate,2,8 km / 3.5 hours,"2,200m / +300m",Muddy forest trails.,Water Route / Forest,Pleasant hike leading to a hidden waterfall in Guarne.,
La Casa en el Aire (Access trail),Oriente (Abejorral),2.5 hours,Moderate-High,3,7 km / 4 hours,"2,300m / +500m",Very steep descent/ascent in canyon.,Scenic / Adventure,Trail leading down into the spectacular Buey River canyon.,
Ruta del Padre Calixto,Oriente (El Retiro),1.5 hours,Low-Moderate,2,9 km / 4 hours,"2,400m / +300m","Ecological reserve paths, well marked.",Ecological / History,Path through the San Sebastián de la Castellana reserve.,
Camino de la Cuesta,Oriente (Rionegro),1 hour,Low,1,5 km / 2 hours,"2,100m / +150m",Cobblestone and dirt.,Historical / Easy,Old heritage trail connecting to the valley.,
Cerro Corcovado,Oriente (El Retiro),1 hour,Moderate-High,3,8 km / 4 hours,"2,650m / +500m","Steep pine forest, slippery when wet.",Viewpoint / Ascent,Prominent peak offering sweeping views of the Oriente.,
Cascada La Brizuela,Oriente (Guarne),1 hour,Moderate,2,7 km / 3 hours,"2,200m / +250m","Forested trails, some mud.",Water Route,A refreshing hike starting from Barro Blanco.,
Páramo de Santa Inés,Norte (Belmira),2 hours,High,4,16 km / 8 hours,"3,350m / +900m","Well-marked but demanding, high winds.",High-Altitude / Endurance,Classic páramo route passing Laguna San José.,
Piedra de Entrerríos,Norte (Entrerríos),1.5 hours,Moderate,2,5 km / 2.5 hours,"2,500m / +350m","Pastures, granite rock ascent.",Summit / Monolith,"A smaller, less crowded version of the Peñol rock.",
Llanos de Cuivá,Norte (Yarumal),2.5 hours,Low-Moderate,2,12 km / 4 hours,"2,700m / +200m","Cold, flat high plains, misty.",Nature / Cold Weather,Extensive walks through the high-altitude dairy region.,
Salto de Guadalupe,Norte (Guadalupe),3 hours,Moderate,3,6 km / 3 hours,"1,800m / +400m","Steep descent, cable car available.",Water Route,Hike to the base of one of Antioquia's highest waterfalls.,
Alto de Matasanos,Norte (Barbosa),1.5 hours,High,4,14 km / 6 hours,"2,400m / +800m","Steep switchbacks, exposed.",Endurance / Viewpoint,Tough climb marking the transition to the North plateau.,
Cascada El Viento,Norte (Barbosa),1 hour,Moderate,2,8 km / 4 hours,"1,500m / +300m","Tropical forest, rocky river bed.",Water Route,Great spot for a swim after a humid hike.,
Cascadas de Reventones,Norte (Barbosa),1.5 hours,Moderate-High,3,10 km / 5 hours,"1,700m / +450m","Slippery paths, multiple water crossings.",Water Route / Adventure,A series of powerful waterfalls in the northern valley.,
Camino Virreinal,Occidente (Santa Fe de Antioquia),1.5 hours,Moderate,3,12 km / 5 hours,"1,000m / +400m","Dry, very hot, ancient stone paths.",Historical / Desert-like,Old Spanish road connecting the colonial capital.,
Puente de Occidente Trail,Occidente (Santa Fe de Antioquia),1.5 hours,Low,1,6 km / 2 hours,500m / +100m,"Flat, dusty, hot climate.",Historical / Easy,Walk along the Cauca river to the historic suspension bridge.,
Cerro El Plateado,Occidente (Salgar),3 hours,High,4,15 km / 7 hours,"2,700m / +900m","Dense forest, muddy, isolated.",Endurance / Summit,"A tough, rarely visited peak in the coffee region.",
Alto del Romeral,Valle de Aburrá (La Estrella),45 mins,High,4,13 km / 6 hours,"2,800m / +850m","Steep muddy trails, cloud forest.",High-Altitude / Training,"Tough ascent from the south valley, great for stamina.",
Charco La Cazuela,Oriente (San Rafael),2.5 hours,Moderate,2,7 km / 3 hours,950m / +200m,"River tracing, easy jungle walking.",Water Route / Swimming,Beautiful natural pool surrounded by tropical vegetation.,
Túnel de la Quiebra,Nordeste (Cisneros),2 hours,Moderate,2,10 km / 4 hours,"1,200m / +200m","Old railway tracks, dark tunnels.",Historical / Easy,Walk through historic railway infrastructure.,
Río Claro (Cañón),Magdalena Medio (Puerto Triunfo),3.5 hours,Moderate,3,8 km / 4 hours,300m / +150m,"Marble riverbeds, caves, very humid.",Jungle / Caves,Exploring the spectacular marble canyon of Rio Claro.,
Cueva de los Guácharos,Magdalena Medio (Puerto Triunfo),3.5 hours,Moderate-High,3,6 km / 3.5 hours,350m / +200m,"Slippery cave floors, dark, river wading.",Spelunking / Adventure,Cave exploration requiring headlamps and water shoes.,
Alto de la Paloma,Valle de Aburrá (Medellín),30 mins,Moderate,3,9 km / 4 hours,"2,400m / +740m","Steep initial climb, dirt trails.",Endurance / Viewpoint,Great training route above the city with panoramic views.,
Cascada La Volcana,Occidente (Palmitas),1 hour,Moderate,2,7 km / 3.5 hours,"1,600m / +300m","Ancient mule tracks, river descents.",Water Route / Heritage,Descent on an old path leading to beautiful falls.,
Reserva El Globo,Suroeste (Jericó),2.5 hours,Moderate,2,8 km / 3.5 hours,"2,100m / +300m","Cloud forest, well preserved trails.",Ecological / Birding,Lush reserve in the mountains above Jericó.,
Las Nubes Viewpoint,Suroeste (Jericó),2.5 hours,Low-Moderate,2,5 km / 2 hours,"2,200m / +250m","Dirt roads, easy inclines.",Viewpoint / Easy,Classic hike offering views of the Cauca river canyon.,
Cascada La Planta,Oriente (Concepción),1.5 hours,Low-Moderate,2,6 km / 2.5 hours,"1,900m / +200m","Pastures, river banks.",Water Route / Relaxing,Easy walk from the heritage town of Concepción.,
Morro Plata,Oriente (El Retiro),1 hour,Moderate-High,3,10 km / 4.5 hours,"2,550m / +450m","Steep ascents, pine forests.",Endurance / Viewpoint,Challenging route offering views of three different hills.,
Laguna de Santa Rita & Cerro Caramanta,Suroeste (Andes),3.5 hours,Extreme,5,25 km / 2-3 days,"3,800m / +1,500m","Deep mud, dense cloud forest transitioning to páramo, high humidity and rain probability.",High-Altitude / Expedition,"A highly demanding multi-day expedition leading to a pristine high-altitude lagoon, offering tough acclimatization terrain.",https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/laguna-santa-rita.jpg
Cerro El Volador (Full Circuit),Valle de Aburrá (Medellín),15 mins,Low,1,5 km / 2 hours,"1,650m / +150m","Paved & dirt paths, well-marked, some stairs.",Urban / Fitness,The largest urban park in Medellín with a 5km circuit around one of the city's iconic hills. Perfect for daily exercise and sunset views.,
Quebrada La Presidenta,Valle de Aburrá (Medellín),40 mins,Moderate,3,8 km / 4 hours,"2,400m / +500m","River tracing, forest trails, slippery rocks.",Water Route,A hidden gem in San Antonio de Prado following a pristine creek through dense forest. Multiple small waterfalls and natural pools.,
Alto de Las Palmas (Mirador trail),Valle de Aburrá (Envigado),25 mins,Moderate,2,6 km / 2.5 hours,"2,100m / +250m","Dirt roads, open fields, exposed sections.",Viewpoint / Training,Training route popular with runners offering spectacular views over Medellín's eastern hills. Best visited early morning or late afternoon.,
Cerro Las Brujas,Valle de Aburrá (Medellín),45 mins,Moderate-High,3,10 km / 5 hours,"2,700m / +600m","Cloud forest, muddy sections, steep inclines.",Ecological / Forest,A mystical cloud forest hike in Santa Elena. Named after local legends of witches gathering at the summit. Rich in birdlife and orchids.,
Cascada Mariposa,Oriente (San Carlos),2.5 hours,Moderate,2,6 km / 3 hours,"1,100m / +200m","Jungle paths, river wading, butterfly-rich areas.",Water Route / Swimming,A stunning waterfall surrounded by hundreds of butterflies in the humid forests of San Carlos. The pool is perfect for swimming.,
Alto de Boquerón,Oriente (Rionegro),45 mins,Moderate,2,7 km / 3 hours,"2,400m / +350m","Dirt roads, pine forest, gentle inclines.",Viewpoint / Training,A popular training hill for local cyclists and runners. The summit offers panoramic views of the San Nicolás Valley and José María Córdova airport.,
Cerro San Miguel,Oriente (La Ceja),1.5 hours,Moderate-High,3,9 km / 4.5 hours,"2,600m / +450m","Steep grass and dirt paths, exposed summit.",Summit / Endurance,A challenging but rewarding climb in La Ceja. The summit features a large cross and 360° views of the surrounding dairy farms and rolling hills.,
Quebrada La Honda,Oriente (San Francisco),2.5 hours,Moderate,3,11 km / 5 hours,"1,200m / +300m","Tropical forest, multiple stream crossings, wildlife.",Water Route / Adventure,A beautiful canyon hike following a cascading stream through primary forest. Excellent for birdwatching and photography.,
Saltos de La Miel,Oriente (San Rafael),2.5 hours,Moderate,3,9 km / 4.5 hours,"1,000m / +250m","Humid jungle, bouldering, river tracing.",Water Route / Swimming,A series of spectacular cascades and deep pools in San Rafael's tropical rainforest. One of Antioquia's best kept secrets.,
Cerro Cristo Rey (Marinilla),Oriente (Marinilla),1 hour,Low,1,4 km / 1.5 hours,"2,150m / +150m","Paved path, stairs, religious stations.",Religious / Viewpoint,A short pilgrimage to the iconic Christ statue overlooking Marinilla. Perfect for families and sunset visits.,
Laguna de Largo,Norte (Belmira),2 hours,High,4,14 km / 7 hours,"3,200m / +700m","Páramo wetlands, muddy, cold, high winds.",High-Altitude / Lake,A remote glacial lake hidden in the páramo above Belmira. Requires good physical condition and warm clothing. The frailejones are spectacular.,
Cerro La Vieja,Norte (San José de la Montaña),2 hours,High,4,12 km / 6 hours,"3,100m / +800m","Steep forest to páramo transition, muddy.",Summit / Endurance,A demanding climb from cloud forest to páramo. The summit offers breathtaking views of the northern valleys on clear days.,
Alto de San José,Norte (Yarumal),2.5 hours,Moderate,3,10 km / 5 hours,"2,900m / +500m","Open pastures, dirt roads, cold climate.",Nature / Cold Weather,A peaceful high-altitude walk through dairy farms and rolling hills. Excellent for acclimatization before more challenging peaks.,
Cascada Los Chorros,Norte (Guadalupe),3 hours,Moderate,3,7 km / 3.5 hours,"1,900m / +350m","Steep descent, rocky trail, lush vegetation.",Water Route,A powerful 70m waterfall accessible via a steep but beautiful descent. Local legend says the mist has healing properties.,
Cerro Las Nubes,Suroeste (Jericó),3 hours,Moderate,3,8 km / 4 hours,"2,400m / +450m","Cloud forest, well-preserved paths, misty.",Viewpoint / Forest,"True to its name (""Cloud Mountain""), this trail winds through ethereal cloud forest with constant mist. The view over the Cauca Canyon is unforgettable.",
Alto de la Cumbre,Suroeste (Támesis),3 hours,Moderate,3,10 km / 5 hours,"2,200m / +500m","Dirt roads, coffee plantations, rural landscapes.",Cultural / Scenic,A hike through traditional coffee farms and small villages. Learn about coffee production while enjoying stunning valley views.,
Salto del Águila,Suroeste (Hispania),3.5 hours,High,4,14 km / 7 hours,"2,500m / +800m","Dense jungle, steep sections, river crossings.",Water Route / Expedition,A true expedition to a remote waterfall that drops into a pristine pool. The trail requires machetes during rainy season. Only for experienced hikers.,
Cascada La Sucia,Suroeste (Jardín),3 hours,Moderate,3,9 km / 4.5 hours,"1,900m / +400m","Muddy, humid, river crossings, slippery rocks.",Water Route / Hidden Gem,"Despite its unappealing name (""The Dirty Waterfall""), this is one of Jardín's most beautiful cascades. The trail is muddy but rewarding.",
Cerro Los Micos,Occidente (Santa Fe de Antioquia),1.5 hours,Moderate,3,7 km / 3.5 hours,"1,200m / +400m","Dry forest, rocky, exposed, hot climate.",Summit / Hot Climate,A steep climb offering incredible views of the Cauca River and the colonial town below. Best done at sunrise to avoid extreme heat.,
Cañón del Cauca (Mirador trail),Occidente (San Jerónimo),1.5 hours,Moderate,2,8 km / 3.5 hours,900m / +200m,"Dry, dusty, panoramic, some steep sections.",Viewpoint / Canyon,A scenic trail along the rim of the Cauca River canyon. Spectacular views of the winding river below and the western mountains.,
Charco del Amor,Occidente (Sopetrán),1.5 hours,Moderate,2,5 km / 2.5 hours,600m / +100m,"River tracing, flat, some rocky sections.",Water Route / Swimming,A short hike leading to a beautiful natural pool perfect for swimming. Very popular on weekends. The water is crystal clear and warm.,
Camino Real (Sopetrán to San Jerónimo),Occidente (Sopetrán),1.5 hours,Moderate,3,12 km / 5 hours,900m / +350m,"Ancient cobblestones, dry forest, historical markers.",Historical / Long Distance,A well-preserved Spanish colonial road connecting two historic towns. Follow the same path muleteers used 300 years ago.,
Caverna del Tigre,Magdalena Medio (Puerto Triunfo),3.5 hours,Moderate,3,5 km / 3 hours,350m / +150m,"Dark caves, headlamp required, slippery floors.",Spelunking / Adventure,A limestone cave system with impressive stalactites and stalagmites. Home to bats and swiftlets. Headlamp and helmet mandatory.,
Sendero El Mirador (Río Claro),Magdalena Medio (Puerto Triunfo),3.5 hours,Low,2,4 km / 2 hours,400m / +100m,"Forest trails, elevated wooden walkways, easy.",Nature / Easy,A family-friendly trail in the Río Claro Reserve featuring elevated walkways through pristine forest. Great for birdwatching and butterflies.,
Cascada La Sirena,Magdalena Medio (Puerto Nare),2.5 hours,Moderate,3,8 km / 4 hours,500m / +200m,"Tropical forest, river tracing, some bouldering.",Water Route / Swimming,A beautiful waterfall deep in the tropical forest. Local legend says a mermaid lives in the pool. Best visited with a local guide.,
Salto del Ángel (San Roque),Nordeste (San Roque),2.5 hours,Moderate,3,9 km / 4.5 hours,"1,300m / +350m","Jungle paths, river crossings, slippery sections.",Water Route,Not to be confused with the Jardín waterfall. This remote cascade in San Roque is a hidden gem of the Nordeste region. Very few tourists.,
Cerro El Perú,Nordeste (Vegachí),3.5 hours,High,4,14 km / 7 hours,"2,400m / +900m","Forest, steep inclines, muddy, some scrambling.",Summit / Endurance,A challenging climb to one of the highest peaks in the Nordeste region. The summit offers views all the way to the Magdalena River valley.,
Túnel de La Quiebra (Extended),Nordeste (Cisneros),2 hours,Moderate,2,12 km / 4.5 hours,"1,200m / +250m","Railway tracks, 2 tunnels, river views.",Historical / Easy,An extended version of the classic tunnel hike. This route passes through two historic railway tunnels along the abandoned Medellín-Puerto Berrío line.,
Cascada El Ocaso,Nordeste (Yalí),3.5 hours,Moderate,3,10 km / 5 hours,"1,500m / +400m","Dense forest, muddy, stream crossings.",Water Route / Hidden Gem,"A pristine waterfall in the remote municipality of Yalí. The name means ""The Sunset"" because the falls face west and catch golden afternoon light.",
